gene_name	mean_length	median_length	max_length
AL049629.1	648.0	648.0	648
C11orf91	551.0	551.0	811
AL049629.2	604.5	602.5	789
CD59	2455.375	1168.0	7724
FBXO3	2276.076923076923	1448.0	7410
FBXO3-DT	381.0	381.0	386
AC113192.3	486.0	486.0	486
AC113192.2	742.0	742.0	742
LINC02722	547.0	547.0	547
AC113192.1	321.0	321.0	321
LINC02721	1595.0	1595.0	1595
LMO2	1349.3333333333333	1534.5	2081
AC132216.1	1154.0	1154.0	1158
AC090469.2	1167.0	1167.0	1167
CAPRIN1	1588.0	591.0	5514
NAT10	1556.1	588.0	3973
ABTB2	2735.5	2735.5	4905
AC090469.1	102.0	102.0	102
AL139174.1	886.0	886.0	886
AL035079.1	287.0	287.0	287
CIR1P3	479.0	479.0	479
CAT	962.6666666666666	724.0	2291
ELF5	1683.142857142857	2217.0	2450
AL137224.1	389.0	389.0	389
LINC02707	564.0	564.0	564
EHF	1138.5833333333333	562.0	3150
AC087783.1	562.0	562.0	562
AL359999.1	294.0	294.0	294
APIP	2290.3333333333335	1246.0	4583
PDHX	1116.125	579.0	2653
MIR1343	84.0	84.0	84
AL356215.1	1210.0	1102.0	2106
CD44	1074.3333333333333	705.0	5431
CD44-AS1	587.0	587.0	587
AL133330.1	704.0	704.0	704
SLC1A2	2571.04	2148.5	12006
AL133330.2	776.0	776.0	776
AC090625.1	210.0	210.0	210
AC090625.2	518.0	518.0	518
PAMR1	2072.0	2613.0	3142
AL135934.1	537.0	537.0	537
FJX1	1628.5	1628.5	2406
AL138812.1	471.0	471.0	471
TRIM44	6815.5	6815.5	12994
AC090692.2	942.0	942.0	942
KRT18P14	1250.0	1250.0	1250
AC090692.3	2138.0	2138.0	2138
AC090692.1	574.0	574.0	607
LDLRAD3	1576.0	1258.0	3814
AL136146.1	1667.0	1667.0	1667
AL136146.2	494.0	494.0	494
RPL12P31	450.0	450.0	450
MIR3973	107.0	107.0	107
AC129502.1	1654.0	1654.0	1654
COMMD9	1254.5	899.0	2949
PRR5L	1079.7	574.5	3930
AC087277.1	535.0	535.0	535
AC087277.2	151.0	151.0	151
AC009656.1	478.0	478.0	478
TRAF6	3672.6666666666665	2558.0	7885
AC061999.1	177.0	177.0	177
RAG1	3584.3333333333335	3707.0	6564
RAG2	1015.4444444444445	569.0	2818
C11orf74	781.3636363636364	861.0	1062
AC104042.1	883.0	883.0	883
AC061997.1	96.0	96.0	96
RPL7AP56	791.0	791.0	791
LINC02760	376.0	376.0	376
AC103798.1	632.0	632.0	632
LRRC6P1	885.0	885.0	885
AC021713.1	510.0	510.0	510
LINC02759	731.5	569.5	1574
LINC01493	687.4285714285714	581.0	1256
AC021723.2	2383.0	2383.0	2383
AC021723.1	515.0	515.0	515
RNU6-99P	107.0	107.0	107
AC021749.1	607.0	607.0	607
AC021820.1	808.0	808.0	808
AC080100.1	5356.0	5356.0	5356
LRRC4C	2291.4285714285716	2669.0	4054
AC018951.1	109.0	109.0	109
AC090720.1	2828.0	2828.0	3818
RNU6-365P	106.0	106.0	106
AC090138.1	578.0	578.0	578
LINC02741	847.6	809.0	1539
AC021006.1	553.0	553.0	553
AC021006.2	192.0	192.0	192
LINC01499	811.0	555.0	1933
AC023442.1	422.0	422.0	422
AC023442.3	486.3333333333333	495.0	533
AC023442.2	270.0	270.0	270
LINC02745	745.75	636.5	1085
LINC02740	604.5	540.5	855
AC109810.1	224.0	224.0	224
AC009643.2	1448.0	1448.0	1448
AC009643.1	391.0	391.0	391
HNRNPKP3	1264.0	1321.0	1882
API5	1538.0	883.0	3726
AC087276.3	787.0	787.0	787
AC087276.1	96.0	96.0	96
TTC17	1600.4666666666667	889.0	4488
AC087276.4	444.0	444.0	444
AC087276.2	183.0	183.0	183
RN7SKP287	266.0	266.0	266
PPIAP41	480.0	480.0	480
CTBP2P6	1229.0	1229.0	1229
AC068205.1	502.25	478.0	689
MIR670	98.0	98.0	98
MIR670HG	897.0	897.0	897
AC068205.2	1616.75	1452.5	2814
MIR129-2	90.0	90.0	90
HSD17B12	1138.7142857142858	577.0	4292
RPL23AP63	471.0	471.0	471
AC068205.3	468.0	468.0	468
PHBP2	806.0	806.0	806
AC068205.4	804.0	804.0	804
AC087521.2	1672.4	704.0	4413
AC087521.4	289.0	289.0	289
ALKBH3	879.0	736.0	1557
SEC14L1P1	2181.0	2181.0	2181
ALKBH3-AS1	1166.2	896.0	2037
AC087521.3	648.0	648.0	743
C11orf96	1275.0	1275.0	1308
AC087521.1	2045.0	2045.0	2045
ACCSL	1813.0	1813.0	1820
ACCS	1054.7692307692307	884.0	3373
AC134775.1	464.0	464.0	464
EXT2	2246.090909090909	747.0	10056
ALX4	5727.0	5727.0	5727
AC010768.4	520.0	520.0	520
AC010768.3	792.0	792.0	792
CD82	819.3571428571429	619.0	2212
AC010768.1	543.0	543.0	543
AC010768.2	567.0	567.0	567
RPL34P22	318.0	318.0	318
AC104010.1	150.0	150.0	150
LINC02704	789.0	789.0	789
TSPAN18-AS1	628.0	628.0	628
TSPAN18	1350.3846153846155	827.0	4557
TP53I11	1347.2608695652175	658.0	3703
LINC02685	1217.6	1273.0	1592
AC068858.1	858.0	858.0	858
PRDM11	3108.1666666666665	1697.0	10730
AC103681.2	567.0	567.0	567
SYT13	2477.3333333333335	1710.0	5165
AC103681.1	436.0	436.0	449
LINC02696	1104.2222222222222	872.0	3326
LINC02687	1784.5	1784.5	2597
AC103855.3	606.0	606.0	606
AC018716.2	2418.0	1941.0	3536
AC018716.1	561.0	561.0	561
AC103855.2	1802.857142857143	880.0	3626
AC103855.4	265.0	265.0	265
AC103855.1	564.0	564.0	564
CHST1	1927.6666666666667	1361.0	3906
AC087442.1	249.0	249.0	249
MIR7154	73.0	73.0	73
AC044839.1	1118.7843137254902	1074.0	2765
AC044839.2	860.0	860.0	860
LINC02690	787.8	534.0	1853
LINC02716	649.0	649.0	649
SLC35C1	1615.5	1225.5	3429
AC044839.3	469.0	469.0	469
CRY2	1625.9166666666667	553.0	4204
MAPK8IP1	2243.6666666666665	3050.0	3180
AC068385.1	409.0	409.0	409
C11orf94	559.0	559.0	760
PEX16	878.3636363636364	794.0	1668
LARGE2	1604.7	1884.0	2552
PHF21A	1232.2857142857142	557.0	8954
AC024475.1	605.0	605.0	605
AC024475.3	1052.8	1038.0	1206
AC024475.2	879.0	879.0	879
LINC02710	800.0	682.5	1571
AC116021.1	653.0	653.0	653
LINC02489	354.0	354.0	354
CREB3L1	1130.3333333333333	663.0	2673
DGKZ	2164.4583333333335	2345.5	5737
MIR4688	83.0	83.0	83
MDK	808.3846153846154	775.0	1339
CHRM4	1511.0	1511.0	1511
AMBRA1	2442.0833333333335	1183.0	5351
AC024293.1	498.0	498.0	498
MIR3160-1	85.0	85.0	85
MIR3160-2	81.0	81.0	81
AC127035.1	1178.0	1178.0	1178
HARBI1	1101.3333333333333	717.0	1967
ATG13	1179.4666666666667	616.0	4348
ARHGAP1	1546.7142857142858	1000.0	3395
ZNF408	914.2	575.0	2229
F2	1205.0	1031.0	1990
CKAP5	2325.9166666666665	642.0	7172
MIR5582	68.0	68.0	68
AC115088.1	108.0	108.0	108
SNORD67	111.0	111.0	111
LRP4-AS1	1135.5	1135.5	1540
LRP4	2561.2	663.0	8155
AC021573.1	1961.0	1961.0	1961
C11orf49	966.304347826087	719.0	2141
AC103792.1	919.0	919.0	919
AC090589.2	332.0	332.0	332
ARFGAP2	970.6	719.5	2937
AC090589.3	574.0	574.0	574
PACSIN3	1087.2727272727273	864.0	2009
MIR6745	127.0	127.0	127
AC090589.1	362.0	362.0	362
DDB2	1183.375	928.5	3101
AC018410.1	610.0	610.0	610
ACP2	1273.3125	1173.0	2200
NR1H3	978.7142857142857	780.0	2731
MADD	2670.913043478261	923.0	6005
MADD-AS1	457.0	457.0	492
AC090582.1	199.0	199.0	199
MYBPC3	3855.75	4217.0	4217
SPI1	1130.5	1229.0	1403
AC090559.1	1907.3333333333333	2294.0	2732
MIR4487	73.0	73.0	73
SLC39A13	1222.3076923076924	827.0	3553
PSMC3	937.3846153846154	891.0	1580
RAPSN	1269.8	1452.0	1622
CELF1	1555.5238095238096	581.0	7666
AC090559.2	430.0	430.0	430
RN7SL652P	300.0	300.0	300
NDUFS3	706.3076923076923	567.0	1769
PTPMT1	1657.4	1611.0	2462
KBTBD4	1454.4	878.0	3079
RNU5E-10P	118.0	118.0	118
KF459542.1	553.0	553.0	553
FAM180B	1388.0	1388.0	1388
C1QTNF4	971.5	971.5	1413
MTCH2	996.3333333333334	705.0	2522
AGBL2	1454.0714285714287	914.0	3586
FNBP4	1080.4375	607.5	4035
AC021443.1	99.0	99.0	99
NUP160	1891.909090909091	634.0	5376
AC021443.3	211.0	211.0	211
RNA5SP340	107.0	107.0	107
AC021443.2	90.0	90.0	90
YPEL5P2	359.0	359.0	359
AC023232.1	285.0	285.0	285
PTPRJ	3240.625	1892.0	7851
PTPRJ-AS1	301.0	301.0	301
MIR3161	77.0	77.0	77
OR4B1	930.0	930.0	930
OR4B2P	882.0	882.0	882
OR4X2	1025.0	1025.0	1025
OR4X1	918.0	918.0	918
OR4S1	930.0	930.0	930
OR4C3	874.3333333333334	990.0	1036
OR4C4P	931.0	931.0	931
OR4C5	981.0	981.0	981
OR4C2P	1064.0	1064.0	1064
OR4C10P	931.0	931.0	931
OR4C9P	925.0	925.0	925
OR4R1P	463.0	463.0	463
OR4A47	1064.0	1064.0	1064
OR4A48P	391.0	391.0	391
OR4A46P	933.0	933.0	933
OR4A40P	948.0	948.0	948
OR4A43P	908.0	908.0	908
OR4A45P	901.0	901.0	901
OR4A41P	928.0	928.0	928
OR4A42P	938.0	938.0	938
OR4A44P	948.0	948.0	948
AC027369.6	931.0	931.0	931
AC027369.3	3707.0	3707.0	3707
AC027369.4	816.0	816.0	816
AC027369.5	755.0	755.0	755
TRIM51CP	1357.0	1357.0	1357
AC027369.2	440.0	440.0	440
TRIM51GP	1492.0	1492.0	1625
TRIM53CP	1358.0	1358.0	1358
AC027369.1	1081.6666666666667	1105.0	1353
TRIM49B	1848.0	1848.0	2162
AC084851.4	1444.0	1444.0	1444
TRIM64C	1353.0	1353.0	1353
AC084851.3	573.0	573.0	573
AC084851.1	249.0	249.0	249
UBTFL7	1191.0	1191.0	1191
AC084851.2	364.0	364.0	364
AC118273.1	3006.0	3006.0	3006
AC118273.2	465.0	465.0	465
TRIM77BP	1353.0	1353.0	1353
UBTFL9	1148.0	1148.0	1148
FOLH1	1509.0	751.0	4110
AC118942.1	806.5	806.5	1035
TYRL	441.0	441.0	441
CBX3P8	525.0	525.0	525
AC135977.1	959.0	959.0	959
AC136759.1	2184.3333333333335	2194.0	2196
AC130364.1	795.0	795.0	795
AC130364.2	604.0	604.0	604
TRIM51FP	1353.0	1353.0	1353
AP006587.5	1091.0	1091.0	1091
AP006587.6	2392.0	2392.0	2392
AP006587.4	739.0	739.0	739
AP006587.3	529.0	529.0	529
TRIM51DP	596.0	596.0	596
AP006587.1	493.0	493.0	493
AP006587.2	1516.0	1516.0	1516
OR4A1P	920.0	920.0	920
OR4A49P	632.0	632.0	632
OR4A18P	1088.0	1088.0	1088
OR4A19P	1103.0	1103.0	1103
OR4R3P	838.0	838.0	838
OR4C13	1029.0	1029.0	1029
OR4C12	1063.0	1063.0	1063
OR4C48P	898.0	898.0	898
OR4C45	921.0	921.0	921
OR4C49P	900.0	900.0	900
GTF2IP11	420.0	420.0	420
AC109635.4	962.0	962.0	962
AC109635.7	1432.0	1432.0	1432
AC109635.6	2711.0	2711.0	2711
AC109635.1	490.0	490.0	490
AC109635.5	1113.0	1113.0	1113
AC109635.3	708.5	708.5	1005
AC109635.2	185.0	185.0	185
LINC02750	512.0	512.0	524
AC024405.2	513.75	530.5	810
AC024405.1	1042.0	1042.0	1042
OR4C50P	930.0	930.0	930
OR4C46	930.0	930.0	930
OR4C7P	919.0	919.0	919
OR4R2P	597.0	597.0	597
OR4A4P	930.0	930.0	930
OR4A3P	871.0	871.0	871
OR4A2P	913.0	913.0	913
OR4A8	945.0	945.0	945
OR4A7P	910.0	910.0	910
OR4A5	1071.0	1071.0	1071
OR4A6P	970.0	970.0	970
TRIM48	1467.0	1467.0	1467
AP005597.4	229.0	229.0	229
AP005597.3	799.0	799.0	799
AP005597.2	341.0	341.0	341
TRIM51HP	1289.5	1289.5	1823
AP005597.1	802.0	802.0	802
OR4A11P	906.0	906.0	906
OR4A12P	918.0	918.0	918
OR4A16	1081.0	1081.0	1081
OR4A15	990.0	990.0	1035
OR4A9P	944.0	944.0	944
OR4X7P	192.0	192.0	192
OR4A10P	928.0	928.0	928
OR4A17P	904.0	904.0	904
OR4A13P	942.0	942.0	942
OR4A50P	908.0	908.0	908
OR4A21P	944.0	944.0	944
OR4C1P	1253.0	1253.0	1569
OR4C14P	923.0	923.0	923
OR4C15	1032.0	1032.0	1113
OR4C16	933.0	933.0	933
OR4C11	1891.0	1891.0	2737
OR4P4	1512.5	1512.5	2086
OR4S2	1573.5	1573.5	2211
OR4C6	1039.0	1039.0	1058
OR4V1P	1140.0	1140.0	1140
OR4P1P	1136.0	1136.0	1136
AP006437.1	345.0	345.0	345
OR5D2P	929.0	929.0	929
OR5D3P	3685.0	3685.0	3685
OR5D17P	981.0	981.0	981
OR5D13	945.0	945.0	945
OR5D15P	942.0	942.0	942
OR5D14	945.0	945.0	945
OR5L1	1110.0	1110.0	1110
OR5D18	991.0	991.0	991
OR5L2	936.0	936.0	936
OR5D16	987.0	987.0	987
OR9M1P	2042.0	2042.0	3163
AC036111.2	901.0	901.0	901
AC036111.3	112.0	112.0	112
AC036111.1	1582.0	1582.0	1582
TRIM51	1479.0	1479.0	1629
OR5W1P	938.0	938.0	938
OR5W2	933.0	933.0	933
OR5I1	945.0	945.0	945
OR10AF1P	805.0	805.0	805
OR10AK1P	415.0	415.0	415
OR10AG1	1911.5	1911.5	2807
OR7E5P	706.0	706.0	706
OR5F1	945.0	945.0	945
OR5F2P	941.0	941.0	941
OR5AS1	4417.5	4417.5	7860
OR5AQ1P	1330.0	1529.0	1534
OR5J1P	939.0	939.0	939
OR5BE1P	1057.5	1057.5	1176
OR8I2	1010.0	1010.0	1010
OR8I4P	141.0	141.0	141
OR8H2	2406.0	3088.0	3092
OR5BN2P	618.0	618.0	618
OR8H3	939.0	939.0	939
OR5BN1P	829.0	829.0	829
OR8J3	2537.0	2697.0	3806
OR8K4P	872.0	872.0	872
OR8K5	924.0	924.0	924
OR5J7P	422.0	422.0	422
OR5J2	939.0	939.0	939
OR8V1P	873.0	873.0	873
AC022882.1	501.0	501.0	501
OR8J2	2883.0	2883.0	2883
OR5T2	1655.0	1655.0	2062
OR5T3	996.0	996.0	1023
OR5T1	1294.5	1294.5	1471
OR8H1	1630.6666666666667	1038.0	2927
OR8I1P	931.0	931.0	931
OR8K3	1919.0	2380.0	2438
FAM8A2P	1142.0	1142.0	1142
OR8K2P	927.0	927.0	927
OR8K1	1087.0	1087.0	1087
OR8J1	1216.0	1254.0	1320
RPL5P29	894.0	894.0	894
OR8U1	930.0	930.0	930
OR8L1P	955.0	955.0	955
OR5AL2P	920.0	920.0	920
OR5AL1	985.0	985.0	985
OR5R1	975.0	975.0	975
OR5M4P	925.0	925.0	925
AP002512.3	4601.0	4601.0	4672
OR5M9	933.0	933.0	933
OR5M3	1225.5	1225.5	1400
OR5M2P	2589.0	2589.0	4242
OR5M8	1047.0	1047.0	1047
AP002512.1	653.0	653.0	653
OR5M7P	972.0	972.0	972
AP002512.2	623.0	623.0	623
OR5M6P	937.0	937.0	937
OR5M5P	936.0	936.0	936
OR5M11	1020.0	1020.0	1020
OR5M10	1052.0	1052.0	1052
OR5M13P	937.0	937.0	937
OR5M1	2625.0	2625.0	4302
OR5AM1P	1032.0	1032.0	1032
OR5M12P	929.0	929.0	929
OR5AP1P	940.0	940.0	940
OR5AP2	1006.0	1006.0	1006
OR5AR1	1026.0	1026.0	1026
OR2AH1P	1836.0	1836.0	2744
AP004245.1	259.0	259.0	259
OR9G1	2264.5	2264.5	3611
AP001803.1	147.0	147.0	147
OR9G3P	918.0	918.0	918
OR9G4	2250.4	2530.0	2608
MIR6128	109.0	109.0	109
AP001803.3	106.0	106.0	106
OR9G2P	880.0	880.0	880
OR5G1P	946.0	946.0	946
OR5G4P	760.0	760.0	760
OR5G5P	608.5	666.0	939
OR5G3	944.0	944.0	944
LINC02735	2362.5	2362.5	2691
FADS2B	1446.0	1446.0	1446
OR5AK3P	1297.0	1297.0	1297
OR5AK2	996.0	996.0	996
OR5AK1P	922.0	922.0	922
OR5BQ1P	315.0	315.0	315
OR5AK4P	903.0	903.0	903
OR5AO1P	300.0	300.0	300
OR5BP1P	546.0	546.0	546
LRRC55	5305.5	5305.5	5407
APLNR	2374.6666666666665	1789.0	3609
TNKS1BP1	2885.285714285714	1946.0	5952
AP000781.1	311.0	311.0	311
SSRP1	2279.6	948.0	6296
P2RX3	1610.75	1091.5	3792
PRG3	869.0	869.0	869
PRG2	1299.0	1358.5	1431
AP000781.2	951.0	681.0	1639
SLC43A3	1031.3076923076924	588.0	2619
RNA5SP341	117.0	117.0	117
RN7SKP259	333.0	333.0	333
RTN4RL2	1147.6666666666667	637.0	2224
AP002893.1	684.0	684.0	684
SLC43A1	1103.3	804.5	2514
RN7SL605P	281.0	281.0	281
TIMM10	561.3333333333334	530.0	668
SMTNL1	1592.5	1592.5	1649
UBE2L6	938.6	668.0	1573
RPS4XP13	789.0	789.0	789
SERPING1	1189.923076923077	956.0	2231
AP000662.1	1176.0	575.0	2790
MIR130A	89.0	89.0	89
YPEL4	1532.1	1617.5	4000
CLP1	1291.8333333333333	1513.0	1828
ZDHHC5	1722.25	739.0	4443
MED19	1034.4285714285713	1088.0	1529
AP001931.2	5453.0	5356.5	5920
TMX2	1008.5555555555555	763.0	1697
PPIAP42	487.0	487.0	487
SELENOH	971.5714285714286	1039.0	1454
AP001931.1	1467.5	1467.5	2355
BTBD18	2182.6666666666665	2947.0	3044
CTNND1	4902.707317073171	5745.0	6670
OR5BA1P	3223.0	3223.0	5464
AP003484.1	250.0	250.0	250
OR5AZ1P	943.0	943.0	943
OR5BD1P	817.0	817.0	817
CYCSP26	320.0	320.0	320
OR9Q1	2311.0	2311.0	2488
RNU6-899P	107.0	107.0	107
OR6Q1	1002.0	1002.0	1002
VN2R9P	953.0	953.0	953
AP004247.2	1890.0	1890.0	1890
AP004247.1	1289.0	1289.0	1289
OR9L1P	933.0	933.0	933
OR9I3P	942.0	942.0	942
OR9I1	2385.3333333333335	3027.0	3184
OR9I2P	903.0	903.0	903
OR5BL1P	624.0	624.0	624
OR9Q2	2429.5	2429.5	3774
OR1S2	959.5	959.5	978
OR1S1	1226.0	1226.0	1474
OR10Q1	1037.0	1037.0	1037
EIF4A2P3	1055.0	1055.0	1055
OR10W1	1469.0	1469.0	1469
OR10Q2P	940.0	940.0	940
OR5BC1P	739.0	739.0	739
OR5B19P	928.0	928.0	928
OR5B10P	642.0	642.0	642
AP000435.1	496.0	496.0	496
OR5B17	946.0	946.0	946
OR5B1P	928.0	928.0	928
OR5B15P	904.0	904.0	904
OR5B3	995.5	995.5	1046
OR5B2	1616.5	1616.5	2184
OR5B12	1430.5	1430.5	1807
AP003557.2	1526.0	1526.0	1526
AP003557.1	558.6666666666666	562.0	585
OR5B21	931.0	931.0	931
LPXN	1615.4	1833.0	2099
ZFP91	5776.0	5776.0	5776
ZFP91-CNTF	2053.5	2053.5	2319
AP001350.1	1524.0	1524.0	1524
CNTF	1902.0	1902.0	1902
AP001350.2	1094.0	1094.0	1094
GLYAT	1166.0	1110.0	2024
AP000445.1	741.0	741.0	741
AP000445.2	783.0	783.0	783
TMA16P1	618.0	618.0	618
GLYATL2	1204.6666666666667	1488.0	1560
GLYATL1P2	706.0	706.0	902
GLYATL1	976.8947368421053	647.0	2281
AP001652.1	643.0	643.0	643
AP001636.3	1908.75	1852.0	3360
AP001636.2	696.0	696.0	696
GLYATL1P1	1607.0	1607.0	1607
AP001636.1	1122.0	1122.0	1122
GLYATL1P4	906.0	906.0	906
GLYATL1B	909.0	909.0	909
FAM111B	2291.6666666666665	2854.0	3506
FAM111A-DT	1649.2	2063.0	2659
AP001258.1	490.0	490.0	490
FAM111A	2296.2727272727275	867.0	6189
DTX4	2214.0	1179.5	6003
MPEG1	4418.0	4418.0	4418
RN7SL42P	294.0	294.0	294
WARS1P1	454.0	454.0	454
SLC25A47P1	414.0	414.0	414
AP002358.1	2805.0	2805.0	2805
AP002358.2	2148.0	2148.0	2148
RN7SL435P	282.0	282.0	282
OR5AN2P	896.0	896.0	896
OR5BR1P	1330.0	1330.0	1330
OR5AN1	5717.333333333333	7647.0	8468
OR5BB1P	939.0	939.0	939
OR5A2	7472.333333333333	6655.0	9444
OR5A1	4831.5	4831.5	8612
OR4D6	1054.0	1054.0	1054
OR4D10	2482.0	2482.0	2482
OR4D8P	930.0	930.0	930
OR4D11	936.0	936.0	936
OR4D9	4377.0	6063.0	6123
OR4D7P	942.0	942.0	942
AP003778.1	1137.0	1137.0	1137
LINC02739	1216.0	1216.0	1482
AP000442.1	633.0	672.0	748
OSBP	2192.3333333333335	991.0	4713
MIR3162	82.0	82.0	82
PATL1	2284.5	2284.5	4129
AP000640.2	656.5	656.5	683
RN7SKP192	327.0	327.0	327
OR10V1	930.0	930.0	930
STX3	2116.875	1297.5	6154
OR10Y1P	974.0	974.0	974
OR10V3P	725.0	725.0	725
OR10V2P	764.0	764.0	764
AP000640.1	1292.0	1292.0	1705
FABP5P7	405.0	405.0	405
MRPL16	784.0	748.0	1083
CBLIF	1048.4	977.0	1623
TCN1	736.8	684.0	1486
OOSP3	850.0	850.0	850
SRD5A3P1	949.0	949.0	949
OOSP1	812.5	812.5	830
AP000790.1	888.0	888.0	888
OOSP4A	577.0	577.0	577
OOSP4B	1124.0	952.0	1483
OOSP2	774.6666666666666	496.0	1499
MS4A3	882.125	806.5	1618
AP000790.2	737.0	737.0	737
MS4A2	2203.25	2312.0	3648
LINC02705	385.0	385.0	385
MS4A6A	939.2380952380952	682.0	2416
MS4A4A	1025.5714285714287	851.0	1676
MS4A4E	760.8888888888889	508.0	2465
MIR6503	86.0	86.0	86
MS4A6E	586.6666666666666	566.0	711
MS4A7	1094.6666666666667	719.0	2956
MS4A14	2261.7272727272725	2815.0	3401
MS4A5	483.0	446.5	739
MS4A1	1492.25	767.5	3475
MS4A12	852.0	914.0	1167
MS4A13	824.5	799.0	949
AP003399.1	361.0	361.0	361
LINC00301	908.75	812.0	1429
MS4A8	870.1111111111111	746.0	1311
MS4A18	1201.0	1201.0	1433
MS4A15	1606.25	1748.5	2110
MS4A10	2311.0	2311.0	2311
AP000777.1	355.0	355.0	355
AP000777.2	501.0	501.0	501
AP000777.3	491.0	491.0	491
CCDC86	1650.75	1669.5	2567
PTGDR2	2881.0	2881.0	2881
ZP1	990.8	536.0	1954
PRPF19	897.0	796.0	2337
AP003721.4	810.0	810.0	810
AP003721.3	405.0	405.0	405
TMEM109	1604.0	1959.0	2129
AP003721.1	2572.0	2572.0	2572
TMEM132A	1473.7142857142858	717.0	3981
SLC15A3	1403.4444444444443	691.0	4579
CD6	1336.9285714285713	704.5	3252
RNU6-933P	107.0	107.0	107
AP003721.2	574.6666666666666	538.0	734
CD5	1837.0	1837.0	3127
VPS37C	1239.75	890.0	2673
AP000437.1	2085.0	2085.0	2085
PGA3	1095.5	946.5	1627
PGA4	1165.375	797.5	3318
AP003037.1	267.0	267.0	267
PGA5	849.5	729.5	1519
VWCE	1828.75	1256.5	3536
DDB1	1393.4	1215.0	4245
TKFC	874.5714285714286	575.0	4696
CYB561A3	1484.857142857143	1094.0	4094
AP003108.3	2234.0	2234.0	2234
TMEM138	1161.0	937.0	2839
TMEM216	865.6	908.0	1306
CPSF7	1125.5384615384614	651.0	3695
AP003108.4	878.0	878.0	878
AP003108.2	1315.25	585.5	6012
SDHAF2	834.875	609.0	2033
RN7SL23P	275.0	275.0	275
PPP1R32	954.3333333333334	850.5	1532
AP003108.1	958.3333333333334	1128.0	1193
MIR4488	62.0	62.0	62
LRRC10B	2270.0	2270.0	2270
SYT7	2441.5	1924.0	7230
AP003108.5	895.0	895.0	895
AP003559.1	1831.0	1831.0	1831
AP002754.1	1181.0	961.0	2349
RPLP0P2	1136.8333333333333	594.5	3525
AP002754.2	462.0	462.0	462
DAGLA	5749.0	5749.0	5799
MYRF-AS1	1285.3333333333333	927.0	2466
MYRF	2749.5	1948.0	5927
TMEM258	712.875	565.5	1692
MIR611	67.0	67.0	67
FEN1	1186.6666666666667	776.0	2016
FADS2	1478.2666666666667	799.0	5073
FADS1	1100.2857142857142	640.0	4364
MIR1908	80.0	80.0	80
FADS3	1406.076923076923	841.0	5314
MIR6746	63.0	63.0	63
RAB3IL1	1436.5	1491.5	2486
RNU6-1243P	107.0	107.0	107
BEST1	2400.222222222222	1829.0	5772
FTH1	773.1666666666666	787.0	1203
AP003733.3	1697.0	1697.0	1697
AP003733.1	852.0	852.0	852
LINC02733	1863.0	1863.0	2938
AP003733.2	171.0	171.0	171
AP002793.1	988.0	988.0	988
INCENP	1853.8333333333333	1090.0	4114
EEF1DP8	536.0	536.0	536
SCGB1D1	453.0	453.0	453
SCGB2A1	520.0	520.0	520
AP003306.1	353.0	353.0	353
SCGB1D2	455.0	455.0	455
SCGB2A2	905.5	905.5	1305
SCGB1D4	446.0	446.0	446
NPM1P35	868.0	868.0	868
AP003306.2	485.0	485.0	485
ASRGL1	1074.1818181818182	642.0	2270
RCC2P6	1557.0	1557.0	1557
AP003064.1	590.0	590.0	590
SCGB1A1	454.5	454.5	466
AP003064.2	510.0	510.0	510
AHNAK	2948.75	642.5	18761
AP001363.1	264.0	264.0	264
AP001363.2	391.0	391.0	391
EEF1G	1269.25	1012.0	2496
AP002990.1	2521.3333333333335	1954.0	5064
MIR6747	61.0	61.0	61
TUT1	1456.2857142857142	752.0	2826
MTA2	1467.4285714285713	627.0	3083
EML3	1604.1666666666667	856.5	3665
AP001458.1	92.0	92.0	92
ROM1	832.0	587.0	1878
B3GAT3	1267.6666666666667	1286.0	2056
GANAB	1654.1176470588234	702.0	3906
INTS5	3285.0	3285.0	3285
AP001458.2	577.0	577.0	577
C11orf98	611.0	654.0	774
LBHD1	1051.7	864.0	2915
CSKMT	1662.0	1701.0	2870
SNORA57	149.0	149.0	149
UQCC3	2107.5	2107.5	2288
UBXN1	971.7222222222222	902.0	2073
LRRN4CL	2212.0	2212.0	2212
HNRNPUL2-BSCL2	4001.0	4001.0	4001
BSCL2	852.9629629629629	662.0	1984
GNG3	864.0	864.0	864
HNRNPUL2	2826.5	2826.5	5214
TTC9C	900.5	742.5	1833
ZBTB3	1711.0	1720.0	2972
POLR2G	868.125	829.5	1556
AP001160.2	487.0	487.0	487
TAF6L	800.5	561.0	2023
TMEM223	857.25	796.5	1273
AP001160.3	763.0	763.0	763
TMEM179B	784.8	839.0	1043
MIR6748	71.0	71.0	71
NXF1	1151.3529411764705	590.0	4128
MIR6514	70.0	70.0	70
STX5	1297.5	1597.5	1794
AP001160.4	382.0	382.0	382
RNU6-118P	102.0	102.0	102
AP001160.1	561.0	561.0	565
TEX54	485.0	485.0	485
WDR74	917.0588235294117	814.0	1736
RNU2-2P	191.0	191.0	191
SNHG1	1913.9444444444443	1806.5	3771
SNORD22	126.0	126.0	126
SNORD30	70.0	70.0	70
AP001160.5	125.0	125.0	125
SNORD28	75.0	75.0	75
SNORD27	72.0	72.0	72
SNORD26	75.0	75.0	75
SNORD25	69.0	69.0	69
SLC3A2	1079.2173913043478	597.0	2222
CHRM1	1772.6666666666667	2123.0	2646
AP000438.1	749.0	749.0	749
RN7SL259P	253.0	253.0	253
